datetime,high,low,average,volume
2011-12-05 00:00:00,,,2.87,31533.18
2011-12-06 00:00:00,,,2.98,57102.26
2011-12-07 00:00:00,,,3,59401.09
2011-12-08 00:00:00,,,2.95,41242.33
2011-12-09 00:00:00,,,2.99,35346.14
2011-12-10 00:00:00,,,3.04,75433.74
2011-12-11 00:00:00,,,3.2,109957.11
2011-12-12 00:00:00,,,3.18,40857.21
2011-12-13 00:00:00,,,3.21,33480.66
2011-12-14 00:00:00,,,3.12,73772.18
2011-12-15 00:00:00,,,3.17,30782.06
2011-12-16 00:00:00,,,3.18,30928.62
2011-12-17 00:00:00,,,3.19,16957
2011-12-18 00:00:00,,,3.2,11370.34
2011-12-19 00:00:00,,,3.41,141522.49
2011-12-20 00:00:00,,,3.97,187493.36
2011-12-21 00:00:00,,,3.93,49632.1
2011-12-22 00:00:00,,,3.79,57621.99
2011-12-23 00:00:00,,,3.9,21101.04
2011-12-24 00:00:00,,,3.92,15579.42
2011-12-25 00:00:00,,,4.14,81062.98
2011-12-26 00:00:00,,,4.04,89435.39
2011-12-27 00:00:00,,,4.02,31427.07
2011-12-28 00:00:00,,,4.14,34619.22
2011-12-29 00:00:00,,,4.22,53844.05
2011-12-30 00:00:00,,,4.19,41730.95
2011-12-31 00:00:00,,,4.6,131056.91
2012-01-01 00:00:00,,,5.1,109715.97
2012-01-02 00:00:00,,,5.21,69590.26
2012-01-03 00:00:00,,,4.95,126201.41
2012-01-04 00:00:00,,,5.25,132302.61
2012-01-05 00:00:00,,,6.2,184803.98
2012-01-06 00:00:00,,,6.79,220874.48
2012-01-07 00:00:00,,,6.72,48824.63
2012-01-08 00:00:00,,,7.03,59204.52
2012-01-09 00:00:00,,,6.47,149622.35
2012-01-10 00:00:00,,,6.4,110797.84
2012-01-11 00:00:00,,,6.81,100713.58
2012-01-12 00:00:00,,,6.74,141157.89
2012-01-13 00:00:00,,,6.61,61030.15
2012-01-14 00:00:00,,,6.59,142982.47
2012-01-15 00:00:00,,,6.9,62699
2012-01-16 00:00:00,,,6.83,123869.49
2012-01-17 00:00:00,,,6.04,214178.93
2012-01-18 00:00:00,,,5.98,227363.99
2012-01-19 00:00:00,,,6.18,115458.7
2012-01-20 00:00:00,,,6.44,67356.71
2012-01-21 00:00:00,,,6.29,65100.95
2012-01-22 00:00:00,,,6.29,45282.24
2012-01-23 00:00:00,,,6.29,18596.26
2012-01-24 00:00:00,,,6.3,36081.52
2012-01-25 00:00:00,,,5.88,133966.24
2012-01-26 00:00:00,,,5.59,124483.63
2012-01-27 00:00:00,,,5.29,117072.29
2012-01-28 00:00:00,,,5.57,90550.07
2012-01-29 00:00:00,,,5.48,47093.57
2012-01-30 00:00:00,,,5.51,42757.95
2012-01-31 00:00:00,,,5.53,49164.86
2012-02-01 00:00:00,,,5.82,116746.22
2012-02-02 00:00:00,,,6.03,55553.16
2012-02-03 00:00:00,,,5.92,60462.79
2012-02-04 00:00:00,,,5.92,21085.53
2012-02-05 00:00:00,,,5.68,121375.76
2012-02-06 00:00:00,,,5.55,90794.3
2012-02-07 00:00:00,,,5.62,73672.9
2012-02-08 00:00:00,,,5.64,239256.37
2012-02-09 00:00:00,,,5.75,91046.61
2012-02-10 00:00:00,,,5.87,40471.4
2012-02-11 00:00:00,,,5.7,70863.96
2012-02-12 00:00:00,,,5.6,83126.79
2012-02-13 00:00:00,,,5.34,171158.03
2012-02-14 00:00:00,,,4.7,299210.01
2012-02-15 00:00:00,,,4.58,162859.25
2012-02-16 00:00:00,,,4.19,167515.15
2012-02-17 00:00:00,,,4.46,137178.35
2012-02-18 00:00:00,,,4.27,71150.88
2012-02-19 00:00:00,,,4.35,63161.55
2012-02-20 00:00:00,,,4.37,39136.55
2012-02-21 00:00:00,,,4.31,53194.52
2012-02-22 00:00:00,,,4.44,105451.97
2012-02-23 00:00:00,,,4.82,166366.72
2012-02-24 00:00:00,,,4.97,91451.54
2012-02-25 00:00:00,,,4.88,86781.01
2012-02-26 00:00:00,,,4.95,71192.69
