Month,Day,Year,Price,totalCirculation,totalTransactionFees,numberOfUniqueBitcoinAddressesUsed,totalOutputVolumeValue,averageNumberOfTransactionsPerBlock
5,6,2010,0,2738150,0,166,17099.97,1
5,7,2010,0,2744700,0,153,49545.01,1
5,8,2010,0,2752100,0,163,10660,1
5,9,2010,0,2759200,0,186,31698.66,1
5,10,2010,0,2766050,0,154,12842.67,1
5,11,2010,0,2771800,0,134,10621.26,1
5,12,2010,0,2777850,0,133,15700,1
5,13,2010,0,2784350,0,152,26670.11,1
5,14,2010,0,2790350,0,146,23275.33,1
5,15,2010,0,2795650,9.35,131,9270.03,1
5,16,2010,0,2800450,0,110,7488.64,1
5,17,2010,0,2807650,0,158,16847.48,1
5,18,2010,0,2816050,0,204,16526,1
5,19,2010,0,2824150,0,208,25418.51,1
5,20,2010,0,2833300,0,213,13394.97,1
5,21,2010,0,2842550,0,217,15512.96,1
5,22,2010,0,2852150,0,217,56336.75,1
5,23,2010,0,2862900,0.99,299,61392.14,1
5,24,2010,0,2872400,0,250,17456,1
5,25,2010,0,2883150,0,258,19050,1
5,26,2010,0,2893750,0,255,24062,1
5,27,2010,0,2903500,0,253,21040.48,1
5,28,2010,0,2914450,0,258,42555.58,1
5,29,2010,0,2924300,0,258,40875.12,1
5,30,2010,0,2931850,0,197,30539.71,1
5,31,2010,0,2939450,0,205,12111,1
6,1,2010,0,2946100,0,165,14142.01,1
6,2,2010,0,2952750,0,178,16201.97,1
6,3,2010,0,2960600,0,218,16514.24,1
6,4,2010,0,2967250,0,190,39744.49,1
6,5,2010,0,2974200,0,177,11400,1
6,6,2010,0,2981750,0,192,14650,1
6,7,2010,0,2989550,0,201,28453.31,1
6,8,2010,0,2997450,0,219,27900.8,1
6,9,2010,0,3005550,0,205,54760.96,1
6,10,2010,0,3013900,0,218,53895.02,1
6,11,2010,0,3022300,0,252,28105,1
6,12,2010,0,3029150,0,218,21898.01,1
6,13,2010,0,3037200,0,216,15143.46,1
6,14,2010,0,3044800,0,244,49237.65,1
6,15,2010,0,3054600,0,298,55578,1
6,16,2010,0,3061950,0,196,17190.08,1
6,17,2010,0,3069100,0,210,43867.51,1
6,18,2010,0,3076500,0,187,14211.62,1
6,19,2010,0,3084400,0,214,63472.79,1
6,20,2010,0,3093050,0,219,33103.01,1
6,21,2010,0,3101150,0,254,45623.09,1
6,22,2010,0,3109050,0,250,39649.42,1
6,23,2010,0,3117600,0,256,43859.22,1
6,24,2010,0,3126700,0,251,45664.37,1
6,25,2010,0,3134300,0,227,40130,1
6,26,2010,0,3142450,0,198,52315,1
6,27,2010,0,3150400,0,197,33347.74,1
6,28,2010,0,3158550,0,217,43325.05,1
6,29,2010,0,3166600,0,235,59574.05,1
6,30,2010,0,3175800,0,274,42443.12,1
7,1,2010,0,3186200,1.37,257,47384.78,1
7,2,2010,0,3194950,0,223,39069.81,1
7,3,2010,0,3204950,0,256,129295.4,1
